Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
104439	3.2953e-002	3.896e-002	4.9318e-002	5.2105e-007
104440	3.3138e-002	3.8991e-002	4.9338e-002	5.4173e-007
104442	3.3265e-002	3.8876e-002	4.9335e-002	5.6436e-007
104443	3.3244e-002	3.87e-002	4.931e-002	5.7401e-007
104471	3.3236e-002	3.8529e-002	4.9287e-002	5.8375e-007
104476	3.2956e-002	3.8414e-002	4.9248e-002	5.5895e-007
104486	3.2801e-002	3.8893e-002	4.9296e-002	5.0522e-007
104487	3.2958e-002	3.8756e-002	4.9291e-002	5.3662e-007
104489	3.295e-002	3.8586e-002	4.9268e-002	5.4751e-007
104490	3.2812e-002	3.8518e-002	4.9249e-002	5.3365e-007
104492	3.3102e-002	3.8652e-002	4.929e-002	5.6126e-007
104495	3.2649e-002	3.8986e-002	4.9297e-002	4.7545e-007
104499	3.2353e-002	3.8762e-002	4.9246e-002	4.4243e-007
104504	3.2362e-002	3.858e-002	4.9223e-002	4.5783e-007
104508	3.2669e-002	3.8429e-002	4.9227e-002	5.1924e-007
104518	3.2654e-002	3.8783e-002	4.927e-002	4.9176e-007
104519	3.2511e-002	3.8694e-002	4.9248e-002	4.7518e-007
104520	3.2663e-002	3.8601e-002	4.9247e-002	5.0638e-007
104533	3.4905e-002	3.9023e-002	4.9563e-002	6.4953e-007
104534	3.5039e-002	3.9067e-002	4.9591e-002	6.4848e-007
104537	3.4771e-002	3.898e-002	4.9536e-002	6.4983e-007
104539	3.4984e-002	3.874e-002	4.9537e-002	6.6564e-007
104540	3.4878e-002	3.886e-002	4.9536e-002	6.5823e-007
104546	3.5364e-002	3.8662e-002	4.959e-002	6.6932e-007
104552	3.5088e-002	3.8606e-002	4.9537e-002	6.7197e-007
104558	3.5153e-002	3.8934e-002	4.9591e-002	6.569e-007
104559	3.5183e-002	3.9099e-002	4.9619e-002	6.4775e-007
104561	3.5116e-002	3.877e-002	4.9562e-002	6.6502e-007
104562	3.5404e-002	3.8828e-002	4.9619e-002	6.6198e-007
104563	3.5258e-002	3.8801e-002	4.959e-002	6.6367e-007
104567	3.5294e-002	3.9149e-002	4.9645e-002	6.4482e-007
104568	3.5409e-002	3.9026e-002	4.9647e-002	6.5147e-007
104569	3.5407e-002	3.921e-002	4.9674e-002	6.4088e-007
104572	3.4437e-002	3.5965e-002	4.9231e-002	5.1602e-007
104579	3.4429e-002	3.6238e-002	4.924e-002	5.5908e-007
104586	3.4853e-002	3.6113e-002	4.9297e-002	5.7122e-007
104588	3.4835e-002	3.6254e-002	4.93e-002	5.8877e-007
104589	3.4687e-002	3.6138e-002	4.9273e-002	5.6384e-007
104592	3.4574e-002	3.5905e-002	4.9249e-002	5.1896e-007
104593	3.4568e-002	3.6056e-002	4.9253e-002	5.4267e-007
104596	3.455e-002	3.6197e-002	4.9255e-002	5.6187e-007
104598	3.4548e-002	3.632e-002	4.926e-002	5.7963e-007
104600	3.5156e-002	3.6895e-002	4.9385e-002	6.5882e-007
104605	3.4865e-002	3.6862e-002	4.9336e-002	6.5039e-007
104616	3.5084e-002	3.6736e-002	4.9363e-002	6.4628e-007
